,Table:,3hr
,3-hourly output (3hr),21 Feb 2014 Version 3.1
output variable name,cell_methods
tas, time: point
pr,time: mean
ps, time: point
psl, time: point
huss, time: point
hurs, time: point
sfcWind, time: point
clt,time: mean
sund,time: sum
rsds,time: mean
rlds,time: mean
hfls,time: mean
hfss,time: mean
rsus,time: mean
rlus,time: mean
prc,time: mean
,Table:,6hr
,6-hourly output (6hr),21 Feb 2014 Version 3.1
output variable name,cell_methods,cell_methods (2nd option)
evspsbl,time: mean,time: mean
evspsblpot,time: mean,time: mean
mrfso,time: point,time: point area: mean where land
mrros,time: mean,time: mean area: mean where land
mrro,time: mean,time: mean area: mean where land
mrso,time: point,time: point area: mean where land
snw,time: point,time: point area: mean where land
snm,time: mean,time: mean area: mean where land
rlut,time: mean,time: mean
rsdt,time: mean,time: mean
rsut,time: mean,time: mean
uas,time: point,time: point
vas,time: point,time: point
tauu,time: mean,time: mean
tauv,time: mean,time: mean
ts,time: point,time: point
zmla,time: point,time: point
prw,time: point,time: point
clwvi,time: point,time: point
clivi,time: point,time: point
ua850,time: point,time: point
va850,time: point,time: point
ta850,time: point,time: point
hus850,time: point,time: point
ua500,time: point,time: point
va500,time: point,time: point
zg500,time: point,time: point
ta500,time: point,time: point
ua200,time: point,time: point
va200,time: point,time: point
ta200,time: point,time: point
zg200,time: point,time: point
clh,time: mean,time: mean
clm,time: mean,time: mean
cll,time: mean,time: mean
snc,time: point,time: point
snd,time: point,time: point area: mean where land
,Table:,day
,daily output (day),21 Feb 2014 Version 3.1
output variable  name,cell_methods,cell_methods (2nd option)
tas,time: mean,time: mean
tasmax,time: maximum,time: maximum
tasmin,time: minimum,time: minimum
pr,time: mean,time: mean
ps,time: mean,time: mean
psl,time: mean,time: mean
huss,time: mean,time: mean
hurs,time: mean,time: mean
sfcWind,time: mean,time: mean
sfcWindmax,time: maximum,time: maximum
clt,time: mean,time: mean
sund,time: sum,time: sum
rsds,time: mean,time: mean
rlds,time: mean,time: mean
